index,CityST,AirportDist,pop,lon,lat,BaseDist,count,per_capita,sqrt_airport,sqrt_base,sqrt_per_capita,cubert_per_capita,log_airport,log_base,log_per_capita
4500,"Mapleton, UT",15.6336890698,7979.0,-111.5785281,40.1302338,44.9215632234,1,0.000125328988595,3.9539460125,6.70235505053,0.0111950430368,0.0500438267192,2.74942814152,3.80491792943,-8.98456836931
4501,"Troy, AL",68.264790226,15984.0,-85.9633022276,31.7864329,54.5882287074,2,0.000125125125125,8.26225091763,7.38838471571,0.0111859342536,0.0500166777864,4.22339411719,3.99981826807,-8.98619632033
4502,"Temple Terrace, FL",4.92515563409,16007.5,-82.3892596,28.0352964,23.9186737535,2,0.000124941433703,2.21926916666,4.89067211674,0.0111777204162,0.0499921899405,1.59435587496,3.17465948246,-8.98766546083
4503,"Flower Mound, TX",14.200751217,56059.4285714,-97.0969552,33.0145673,32.380554973,7,0.000124867487564,3.76838841111,5.69039146044,0.0111744121798,0.0499823254282,2.65329486581,3.47755808748,-8.98825748245
4504,"Cupertino, CA",6.18369831319,56086.0,-122.0322519,37.3230107,10.1900800939,7,0.000124808330065,2.48670430755,3.19219048522,0.011171764859,0.0499744309353,1.82191652504,2.32141470725,-8.98873135694
4505,"Chickasha, OK",42.397255423,16036.0,-97.9078215,35.10645325,42.6463995614,2,0.000124719381392,6.5113174875,6.53042108607,0.0111677831906,0.0499625561517,3.74708362955,3.75294285212,-8.9894442932
4506,"Lincoln, IL",43.0809345259,16043.0,-89.3648183,40.1483768,43.5261546565,2,0.000124664962912,6.56360682292,6.59743546058,0.01116534652,0.0499552884177,3.76308054485,3.77336201388,-8.98988071579
4507,"North Las Vegas, NV",7.46944484621,176754.954545,-115.1120958,36.2008371,7.36253440322,22,0.00012446610086,2.73302851178,2.71339904976,0.011156437642,0.0499287118563,2.01082067861,1.99640422173,-8.99147716138
4508,"Watertown, MA",9.22583653637,32182.75,-71.1838168071,42.3691873125,12.7633057194,4,0.000124290186513,3.03740621853,3.57257690182,0.0111485508705,0.049905178493,2.22200786726,2.54657431328,-8.99289151258
4509,"Brookline, MA",4.19233429693,56414.2857143,-71.1242959571,42.3385271143,19.3370273179,7,0.000124082046088,2.04751905899,4.39738869307,0.0111392120946,0.0498773053116,1.43325769024,2.96202177179,-8.99456754916
4510,"Moraga, CA",13.3170488562,16153.0,-122.1295596,37.8347106,47.2454086852,2,0.00012381600941,3.64925319157,6.87352956531,0.0111272642374,0.0498416335187,2.58904508322,3.85535547853,-8.99671388935
4511,"Mount Rainier, MD",5.51806744953,8080.0,-76.9649751,38.9415,6.82381013438,1,0.000123762376238,2.34905671484,2.61224235751,0.0111248539872,0.0498344358739,1.70802769927,1.92041798659,-8.99714715152
4512,"Cohoes, NY",7.0768730524,16168.0,-73.718604,42.7658497,5.42353234587,2,0.00012370113805,2.6602392848,2.32884785804,0.0111221013325,0.0498262150826,1.95683215088,1.6907473275,-8.99764207852
4513,"Elizabeth, NJ",4.75532885421,121272.2,-74.2107006,40.6639916,16.4020208713,15,0.000123688693699,2.18067165209,4.04994084788,0.011121541876,0.0498245441852,1.55926585327,2.7974045511,-8.99774268372
4514,"Rolling Meadows, IL",9.79606638207,24267.3333333,-88.0131275,42.0841936,28.3919012996,3,0.000123622977391,3.12986683136,5.32840513659,0.0111185870231,0.0498157186274,2.28198091551,3.34610393899,-8.998274129
4515,"Westfield, MA",4.58798511478,40480.8,-72.7495381,42.1250929,0.0531915760695,5,0.000123515345547,2.14195824301,0.230632989985,0.0111137457928,0.0498012571451,1.52344095488,-2.93385523973,-8.99914515418
4516,"Syracuse, UT",8.51618186934,24331.0,-112.112881254,41.0458747333,6.73804517104,3,0.000123299494472,2.91824979557,2.59577448386,0.0111040305508,0.049772229921,2.141968103,1.90776984889,-9.00089424779
4517,"Bloomfield, NM",82.170207986,8112.0,-107.562467,36.2332125,122.603800324,1,0.000123274161736,9.06477843006,11.0726600383,0.0111028897921,0.0497688210042,4.40879280311,4.80895802077,-9.00109972583
4518,"Westlake, OH",7.46951210519,32476.5,-81.9179174,41.4553232,78.6048775809,4,0.000123165981556,2.7330408166,8.86593918211,0.0110980170101,0.0497542584075,2.01082968311,4.36443375325,-9.00197766873
4519,"Kearny, NJ",4.06762459944,40649.8,-74.1454214,40.7684342,20.2159152785,5,0.000123001835187,2.01683529309,4.49621121373,0.0110906192427,0.0497321456685,1.40305919257,3.00647017926,-9.00331128248
4520,"Vineland, NJ",13.1747424272,56916.8571429,-75.0020264495,39.473152,36.9789663718,7,0.000122986411257,3.6297028015,6.08103333092,0.0110899238616,0.0497300668452,2.57830154412,3.61034927456,-9.00343668628
