,CityST,lon,pop,AirportDist,lat,BaseDist,count,per_capita_sum,per_capita_avg,sqrt_airport,sqrt_base,sqrt_per_capita,cubert_per_capita,log_airport,log_base,log_per_capita
4679,"Farragut, TN",-84.11658015,20676.0,15.1484783613,35.8989688,16.0361185839,2,9.67305088025e-05,9.67305088025e-05,3.89210461849,4.00451227791,0.00983516694329,0.0459044185465,2.71790008871,2.77484358961,-9.24358170576
4680,"West Allis, WI",-88.0070315,62284.0,10.6547411603,43.0166806,11.720617742,6,9.6723312523e-05,9.63329265943e-05,3.26416010029,3.42353877472,0.00983480109219,0.0459032801631,2.36600497246,2.46134949112,-9.24365610366
4681,"Plymouth, MA",-70.64703474,51700.0,7.48876054147,41.95049244,25.2815021013,5,9.67117988395e-05,9.67117988395e-05,2.73655998317,5.02807140973,0.00983421572061,0.0459014586898,2.01340330206,3.23007298608,-9.24377514806
4682,"Castle Pines North, CO",-104.928308236,10360.0,11.9250020757,39.481886,28.550434016,1,9.65250965251e-05,9.65250965251e-05,3.45325963051,5.34326061651,0.00982471864865,0.0458719020437,2.47863721084,3.35167213795,-9.24570751581
4683,"Southaven, MS",-90.0125913,43980.75,6.78285746932,34.9889818,6.80599436498,4,9.57571174125e-05,9.09488810445e-05,2.6043919577,2.60883007591,0.00978555657142,0.0457499216518,1.91439846882,1.91780374813,-9.25369559938
4684,"Wyomissing, PA",-75.9652117,10461.0,5.44443728357,40.329537,55.0053806144,1,9.55931555301e-05,9.55931555301e-05,2.33333179886,7.41656123917,0.00977717523266,0.0457237946862,1.69459440551,4.0074310098,-9.25540933534
4685,"Vidalia, GA",-82.4134614,10473.0,21.4463549252,32.2176855,84.0967970825,1,9.54836245584e-05,9.54836245584e-05,4.63102093768,9.17043058327,0.00977157226645,0.0457063245174,3.06555469738,4.43196848162,-9.25655579577
4686,"Harker Heights, TX",-97.6597377,22004.0,8.05308768137,31.0835102,12.177086753,2,9.52299341561e-05,9.08925649882e-05,2.837796272,3.48956827602,0.0097585825895,0.0456658095767,2.08605558079,2.49955605083,-9.25921623118
4687,"Shreveport, LA",-93.8284831616,199574.368421,4.03649784042,32.4828485,22.2967654279,19,9.52029648457e-05,9.52026061779e-05,2.00910374058,4.72194508946,0.00975720066647,0.0456614982864,1.39537744484,3.10444161987,-9.25949947331
4688,"Galion, OH",-82.8435312,10512.0,13.6712551204,40.6704404,32.4243203493,1,9.51293759513e-05,9.51293759513e-05,3.69746604047,5.69423571248,0.00975342893301,0.0456497302869,2.61529546221,3.47890876928,-9.26027274072
4689,"Sussex, WI",-88.2220372,10518.0,10.3983755317,43.1338972,33.4863827151,1,9.50751093364e-05,9.50751093364e-05,3.22465122637,5.78674197758,0.00975064661119,0.0456410483296,2.34164959507,3.51113887008,-9.26084335415
4690,"Damascus, OR",-122.458985,10539.0,15.3250732505,45.4176261,21.7570308791,1,9.48856627764e-05,9.48856627764e-05,3.91472518199,4.664443255,0.00974092720311,0.0456107134044,2.72949026162,3.07993696411,-9.26283794093
4691,"Richmond Heights, OH",-81.5101208,10546.0,2.40398402775,41.5528288,55.3282898368,1,9.48226815854e-05,9.48226815854e-05,1.55047864473,7.43829885369,0.00973769385355,0.0456006196671,0.87712737262,4.01328434801,-9.26350192009
